Epoch	Loss
0	609058.2150139645
1	21429.59014182917
2	11333.530595223428
3	11287.362395230379
4	11314.62519463236
5	11176.075234646523
6	11102.889216774585
7	11077.504237065228
8	11066.089318292277
9	11059.625409438868
10	11055.317901593391
11	11052.32902545383
12	11050.72040996761
13	11050.058550730022
14	11049.769971439388
15	11049.622929784615
16	11049.516691682104
17	11049.438919032602
18	11049.377886775188
19	11049.331721134387
20	11049.29764514736
21	11049.273357983839
22	11049.25588249952
23	11049.244114011359
24	11049.23594397901
25	11049.229376459745
26	11049.224733092633
27	11049.221632362664
28	11049.219789967983
